label_id,channel,selected_count,count,excluded_count,coverage_fraction,mean,std,minimum,maximum,sum,measure,measure_unit,integral
1,Membranes,30743,30743,0,1.0,1635.600006505546,622.5694408322909,752.0,10888.0,50283251.0,602.685772,um^3,985752.852604
1,Nuclei,30743,30743,0,1.0,23482.93884786781,12077.980310022382,4126.0,65535.0,721935989.0,602.685772,um^3,14152833.128356
2,Membranes,36427,36427,0,1.0,1875.172399593708,1366.9332218152645,630.0,42522.0,68306905.0,714.114908,um^3,1339088.56562
2,Nuclei,36427,36427,0,1.0,17239.47286353529,4039.580790219947,6307.0,47610.0,627982278.0,714.114908,um^3,12310964.577912
3,Membranes,39691,39691,0,1.0,1266.958403668338,746.4150924723165,496.0,36886.0,50286846.0,778.102364,um^3,985823.328984
3,Nuclei,39691,39691,0,1.0,16309.133556725707,4120.029373973358,6354.0,55624.0,647325820.0,778.102364,um^3,12690175.37528
4,Membranes,78131,78131,0,1.0,1314.441361303452,969.1627804401203,374.0,23077.0,102698618.0,1531.680124,um^3,2013303.707272
4,Nuclei,78131,78131,0,1.0,15964.972290128118,4278.561213086371,5074.0,55766.0,1247359250.0,1531.680124,um^3,24453230.737
5,Membranes,20848,20848,0,1.0,1387.6998752877973,970.5149972547462,68.0,28820.0,28930767.0,408.704192,um^3,567158.756268
5,Nuclei,20848,20848,0,1.0,19753.13771105142,6552.729942470243,4458.0,65298.0,411813415.0,408.704192,um^3,8073190.18766
6,Membranes,9000,9000,0,1.0,1967.0775555555556,832.3647325452558,1134.0,24273.0,17703698.0,176.436,um^3,347063.295592
6,Nuclei,9000,9000,0,1.0,14100.837666666666,2626.0827304779623,6591.0,34332.0,126907539.0,176.436,um^3,2487895.394556
7,Membranes,36919,36919,0,1.0,1555.160459384057,874.7113571183642,512.0,14952.0,57414969.0,723.760076,um^3,1125563.052276
7,Nuclei,36919,36919,0,1.0,15099.309921720524,3288.25973891346,5928.0,39738.0,557451423.0,723.760076,um^3,10928277.696492
8,Membranes,40033,40033,0,1.0,1578.3534334174306,1216.706231599151,591.0,35684.0,63186223.0,784.806932,um^3,1238702.715692
8,Nuclei,40033,40033,0,1.0,16215.528414058403,3582.7591150362314,5833.0,41113.0,649156249.0,784.806932,um^3,12726059.105396
9,Membranes,22516,22516,0,1.0,1710.320616450524,1125.9344905127373,766.0,16443.0,38509579.0,441.403664,um^3,754941.786716
9,Nuclei,22516,22516,0,1.0,14458.783043169302,3047.6514834587156,6212.0,42394.0,325553959.0,441.403664,um^3,6382159.812236
10,Membranes,57814,57814,0,1.0,2275.8112394921645,1198.0462846427365,1010.0,17563.0,131573751.0,1133.385656,um^3,2579371.814604
10,Nuclei,57814,57814,0,1.0,14299.659684505483,2745.3204468616605,5880.0,36134.0,826720525.0,1133.385656,um^3,16207029.1721
11,Membranes,4441,4441,0,1.0,1512.3915784733167,852.6223170854825,919.0,22499.0,6716531.0,87.061364,um^3,131670.873724
11,Nuclei,4441,4441,0,1.0,14212.457554604818,2929.9044237062385,7398.0,32246.0,63117524.0,87.061364,um^3,1237355.940496
12,Membranes,29071,29071,0,1.0,2098.1297169000036,919.4574386495542,975.0,10123.0,60994729.0,569.907884,um^3,1195740.667316
12,Nuclei,29071,29071,0,1.0,14872.757524680954,3079.3569438722966,6591.0,39406.0,432365934.0,569.907884,um^3,8476101.770136
13,Membranes,34955,34955,0,1.0,1534.800200257474,751.5416048909694,688.0,20486.0,53648941.0,685.25782,um^3,1051733.839364
13,Nuclei,34955,34955,0,1.0,15036.943985123731,3225.147813964989,6402.0,32910.0,525616377.0,685.25782,um^3,10304183.454708
14,Membranes,4755,4755,0,1.0,1251.6839116719243,597.8955632086366,717.0,7433.0,5951757.0,93.21702,um^3,116678.244228
14,Nuclei,4755,4755,0,1.0,14412.051735015773,2853.73092996998,7113.0,25560.0,68529306.0,93.21702,um^3,1343448.514824
15,Membranes,8353,8353,0,1.0,1792.959535496229,626.590172013346,897.0,19311.0,14976591.0,163.752212,um^3,293601.089964
15,Nuclei,8353,8353,0,1.0,13554.265772776249,2410.812202730195,6876.0,27931.0,113218782.0,163.752212,um^3,2219541.002328
16,Membranes,16805,16805,0,1.0,2051.225052067837,748.5170411922883,1188.0,11939.0,34470837.0,329.44522,um^3,675766.288548
16,Nuclei,16805,16805,0,1.0,13777.951204998511,2632.54932394295,6354.0,34617.0,231538470.0,329.44522,um^3,4539080.16588
17,Membranes,2985,2985,0,1.0,1731.8743718592964,745.2930227401891,1052.0,12086.0,5169645.0,58.51794,um^3,101345.72058
17,Nuclei,2985,2985,0,1.0,13811.88743718593,2974.195525039579,7208.0,45903.0,41228484.0,58.51794,um^3,808243.200336
