epoch,baseline,refined,ensemble
0,1.07,1.02,0.98
2,0.97011,0.89166,0.81686
4,0.8813,0.78163,0.68329
6,0.80236,0.68728,0.57393
8,0.73217,0.60639,0.4844
10,0.66978,0.53703,0.41109
12,0.61431,0.47757,0.35107
14,0.56499,0.42658,0.30194
16,0.52115,0.38286,0.26171
18,0.48218,0.34538,0.22877
20,0.44753,0.31324,0.2018
22,0.41673,0.28568,0.17972
24,0.38934,0.26206,0.16165
26,0.365,0.2418,0.14685
28,0.34335,0.22443,0.13473
30,0.32411,0.20954,0.12481
32,0.30701,0.19677,0.11669
34,0.2918,0.18583,0.11004
36,0.27828,0.17644,0.10459
38,0.26626,0.16839,0.10013
40,0.25558,0.16149,0.09648
42,0.24608,0.15557,0.0935
44,0.23764,0.1505,0.09105
46,0.23013,0.14615,0.08905
48,0.22346,0.14242,0.08741
50,0.21752,0.13923,0.08606
52,0.21225,0.13648,0.08496
54,0.20756,0.13413,0.08406
56,0.20339,0.13212,0.08333
58,0.19968,0.13039,0.08272
60,0.19639,0.12891,0.08223
