time,measured,model,residual
0.0,0.02598,0.0,0.02598
0.05,0.08862,0.06449,0.02412
0.1,0.0655,0.12483,-0.05933
0.15,0.17685,0.18127,-0.00442
0.2,0.25112,0.23407,0.01704
0.25,0.29629,0.28347,0.01282
0.3,0.29887,0.32968,-0.03081
0.35,0.35022,0.37291,-0.02269
0.4,0.42122,0.41335,0.00787
0.45,0.41422,0.45119,-0.03697
0.5,0.48033,0.48658,-0.00626
0.55,0.46879,0.51969,-0.05091
0.6,0.55093,0.55067,0.00026
0.65,0.53978,0.57965,-0.03987
0.7,0.60938,0.60676,0.00262
0.75,0.67344,0.63212,0.04132
0.8,0.69827,0.65585,0.04242
0.85,0.71347,0.67804,0.03543
0.9,0.64645,0.69881,-0.05236
0.95,0.73537,0.71823,0.01714
1.0,0.71848,0.7364,-0.01792
1.05,0.71185,0.7534,-0.04155
1.1,0.77495,0.76931,0.00565
1.15,0.80631,0.78418,0.02213
1.2,0.86661,0.7981,0.06851
1.25,0.80243,0.81112,-0.00869
1.3,0.86399,0.82331,0.04068
1.35,0.72201,0.8347,-0.1127
1.4,0.83345,0.84536,-0.01191
1.45,0.85432,0.85533,-0.00102
1.5,0.84406,0.86466,-0.02061
1.55,0.90568,0.87339,0.03229
1.6,0.87288,0.88156,-0.00868
1.65,0.92122,0.8892,0.03202
1.7,0.92975,0.89634,0.0334
1.75,0.87024,0.90303,-0.03279
1.8,0.90335,0.90928,-0.00594
1.85,0.91199,0.91513,-0.00314
1.9,0.91366,0.92061,-0.00694
1.95,0.89807,0.92573,-0.02766
2.0,0.9038,0.93052,-0.02672
2.05,0.94921,0.935,0.01421
2.1,0.90894,0.93919,-0.03025
2.15,0.92503,0.94311,-0.01808
2.2,0.9733,0.94678,0.02652
2.25,0.97403,0.95021,0.02382
2.3,0.95346,0.95342,4e-05
2.35,0.91581,0.95643,-0.04062
2.4,0.89245,0.95924,-0.06679
2.45,0.96563,0.96187,0.00377
2.5,0.96263,0.96433,-0.0017
2.55,0.99789,0.96663,0.03127
2.6,0.99943,0.96878,0.03065
2.65,0.95547,0.97079,-0.01532
2.7,0.96592,0.97268,-0.00676
2.75,0.97367,0.97444,-0.00077
2.8,0.9786,0.97609,0.00251
2.85,0.99319,0.97763,0.01557
2.9,1.02373,0.97907,0.04466
2.95,0.99459,0.98042,0.01417
3.0,0.99226,0.98168,0.01057
3.05,0.97376,0.98287,-0.00911
3.1,0.95966,0.98397,-0.02431
3.15,0.96151,0.985,-0.0235
3.2,0.96448,0.98597,-0.0215
3.25,0.9893,0.98688,0.00243
3.3,1.01947,0.98772,0.03175
3.35,0.96085,0.98851,-0.02767
3.4,0.95672,0.98926,-0.03254
3.45,0.999,0.98995,0.00906
3.5,1.07063,0.9906,0.08003
3.55,0.95321,0.9912,-0.03799
3.6,0.95491,0.99177,-0.03686
3.65,0.98143,0.9923,-0.01087
3.7,0.98037,0.9928,-0.01243
3.75,0.97074,0.99326,-0.02252
3.8,1.0046,0.9937,0.0109
3.85,0.9604,0.9941,-0.0337
3.9,0.93271,0.99448,-0.06178
3.95,1.00308,0.99484,0.00824
4.0,0.9723,0.99517,-0.02287
4.05,1.00571,0.99548,0.01023
4.1,0.99485,0.99577,-0.00093
4.15,1.00378,0.99605,0.00773
4.2,0.97369,0.9963,-0.02261
4.25,0.96298,0.99654,-0.03356
4.3,0.96152,0.99676,-0.03525
4.35,1.00644,0.99697,0.00947
4.4,0.92963,0.99717,-0.06753
4.45,1.0018,0.99735,0.00445
4.5,0.99533,0.99752,-0.0022
4.55,1.0322,0.99768,0.03452
4.6,0.94185,0.99783,-0.05598
4.65,0.994,0.99797,-0.00397
4.7,1.01175,0.9981,0.01365
4.75,0.96241,0.99822,-0.03581
4.8,1.04561,0.99834,0.04727
4.85,0.9673,0.99845,-0.03115
4.9,0.97134,0.99855,-0.02721
4.95,1.05976,0.99864,0.06112
5.0,1.03611,0.99873,0.03738
5.05,1.02539,0.99881,0.02658
5.1,1.00678,0.99889,0.00789
5.15,0.96373,0.99896,-0.03523
5.2,0.92463,0.99903,-0.07439
5.25,1.02176,0.99909,0.02267
5.3,1.05561,0.99915,0.05646
5.35,0.98742,0.9992,-0.01178
5.4,0.98841,0.99925,-0.01084
5.45,1.00073,0.9993,0.00143
5.5,0.99571,0.99935,-0.00364
5.55,1.03444,0.99939,0.03505
5.6,1.0403,0.99943,0.04088
5.65,1.02787,0.99947,0.02841
5.7,0.97168,0.9995,-0.02782
5.75,1.01686,0.99953,0.01733
5.8,1.00018,0.99956,0.00062
5.85,0.99964,0.99959,5e-05
5.9,0.93876,0.99962,-0.06085
5.95,0.96587,0.99964,-0.03377
6.0,1.04588,0.99966,0.04621
