id,country,continent,population,population_year,population_millions
AFG,Afghanistan,Asia,38041754,2019,38.041754
AGO,Angola,Africa,31825295,2019,31.825295
ALB,Albania,Europe,2854191,2019,2.854191
ARE,United Arab Emirates,Asia,9770529,2019,9.770529
ARG,Argentina,South America,44938712,2019,44.938712
ARM,Armenia,Asia,2957731,2019,2.957731
ATF,French Southern and Antarctic Lands,Seven seas (open ocean),140,2017,0.00014
AUS,Australia,Oceania,25364307,2019,25.364307
AUT,Austria,Europe,8877067,2019,8.877067
AZE,Azerbaijan,Asia,10023318,2019,10.023318
BDI,Burundi,Africa,11530580,2019,11.53058
BEL,Belgium,Europe,11484055,2019,11.484055
BEN,Benin,Africa,11801151,2019,11.801151
BFA,Burkina Faso,Africa,20321378,2019,20.321378
BGD,Bangladesh,Asia,163046161,2019,163.046161
BGR,Bulgaria,Europe,6975761,2019,6.975761
BHS,The Bahamas,North America,389482,2019,0.389482
BIH,Bosnia and Herzegovina,Europe,3301000,2019,3.301
BLR,Belarus,Europe,9466856,2019,9.466856
BLZ,Belize,North America,390353,2019,0.390353
BOL,Bolivia,South America,11513100,2019,11.5131
BRA,Brazil,South America,211049527,2019,211.049527
BRN,Brunei,Asia,433285,2019,0.433285
BTN,Bhutan,Asia,763092,2019,0.763092
BWA,Botswana,Africa,2303697,2019,2.303697
CAF,Central African Republic,Africa,4745185,2019,4.745185
CAN,Canada,North America,37589262,2019,37.589262
CHE,Switzerland,Europe,8574832,2019,8.574832
CHL,Chile,South America,18952038,2019,18.952038
CHN,China,Asia,1397715000,2019,1397.715
CIV,Ivory Coast,Africa,25716544,2019,25.716544
CMR,Cameroon,Africa,25876380,2019,25.87638
COD,Democratic Republic of the Congo,Africa,86790567,2019,86.790567
COG,Republic of the Congo,Africa,5380508,2019,5.380508
COL,Colombia,South America,50339443,2019,50.339443
CRI,Costa Rica,North America,5047561,2019,5.047561
CUB,Cuba,North America,11333483,2019,11.333483
CYN,Northern Cyprus,Asia,326000,2017,0.326
CYP,Cyprus,Asia,1198575,2019,1.198575
CZE,Czechia,Europe,10669709,2019,10.669709
DEU,Germany,Europe,83132799,2019,83.132799
DJI,Djibouti,Africa,973560,2019,0.97356
DNK,Denmark,Europe,5818553,2019,5.818553
DOM,Dominican Republic,North America,10738958,2019,10.738958
DZA,Algeria,Africa,43053054,2019,43.053054
ECU,Ecuador,South America,17373662,2019,17.373662
EGY,Egypt,Africa,100388073,2019,100.388073
ERI,Eritrea,Africa,6081196,2020,6.081196
ESP,Spain,Europe,47076781,2019,47.076781
EST,Estonia,Europe,1326590,2019,1.32659
ETH,Ethiopia,Africa,112078730,2019,112.07873
FIN,Finland,Europe,5520314,2019,5.520314
FJI,Fiji,Oceania,889953,2019,0.889953
FLK,Falkland Islands,South America,3398,2016,0.003398
FRA,France,Europe,67059887,2019,67.059887
GAB,Gabon,Africa,2172579,2019,2.172579
GBR,United Kingdom,Europe,66834405,2019,66.834405
GEO,Georgia,Asia,3720382,2019,3.720382
GHA,Ghana,Africa,30417856,2019,30.417856
GIN,Guinea,Africa,12771246,2019,12.771246
GMB,Gambia,Africa,2347706,2019,2.347706
GNB,Guinea-Bissau,Africa,1920922,2019,1.920922
GNQ,Equatorial Guinea,Africa,1355986,2019,1.355986
GRC,Greece,Europe,10716322,2019,10.716322
GRL,Greenland,North America,56225,2019,0.056225
GTM,Guatemala,North America,16604026,2019,16.604026
GUY,Guyana,South America,782766,2019,0.782766
HND,Honduras,North America,9746117,2019,9.746117
HRV,Croatia,Europe,4067500,2019,4.0675
HTI,Haiti,North America,11263077,2019,11.263077
HUN,Hungary,Europe,9769949,2019,9.769949
IDN,Indonesia,Asia,270625568,2019,270.625568
IND,India,Asia,1366417754,2019,1366.417754
IRL,Ireland,Europe,4941444,2019,4.941444
IRN,Iran,Asia,82913906,2019,82.913906
IRQ,Iraq,Asia,39309783,2019,39.309783
ISL,Iceland,Europe,361313,2019,0.361313
ISR,Israel,Asia,9053300,2019,9.0533
ITA,Italy,Europe,60297396,2019,60.297396
JAM,Jamaica,North America,2948279,2019,2.948279
JOR,Jordan,Asia,10101694,2019,10.101694
JPN,Japan,Asia,126264931,2019,126.264931
KAZ,Kazakhstan,Asia,18513930,2019,18.51393
KEN,Kenya,Africa,52573973,2019,52.573973
KGZ,Kyrgyzstan,Asia,6456900,2019,6.4569
KHM,Cambodia,Asia,16486542,2019,16.486542
KOR,South Korea,Asia,51709098,2019,51.709098
KOS,Kosovo,Europe,1794248,2019,1.794248
KWT,Kuwait,Asia,4207083,2019,4.207083
LAO,Laos,Asia,7169455,2019,7.169455
LBN,Lebanon,Asia,6855713,2019,6.855713
LBR,Liberia,Africa,4937374,2019,4.937374
LBY,Libya,Africa,6777452,2019,6.777452
LKA,Sri Lanka,Asia,21803000,2019,21.803
LSO,Lesotho,Africa,2125268,2019,2.125268
LTU,Lithuania,Europe,2786844,2019,2.786844
LUX,Luxembourg,Europe,619896,2019,0.619896
LVA,Latvia,Europe,1912789,2019,1.912789
MAR,Morocco,Africa,36471769,2019,36.471769
MDA,Moldova,Europe,2657637,2019,2.657637
MDG,Madagascar,Africa,26969307,2019,26.969307
MEX,Mexico,North America,127575529,2019,127.575529
MKD,North Macedonia,Europe,2083459,2019,2.083459
MLI,Mali,Africa,19658031,2019,19.658031
MMR,Myanmar,Asia,54045420,2019,54.04542
MNE,Montenegro,Europe,622137,2019,0.622137
MNG,Mongolia,Asia,3225167,2019,3.225167
MOZ,Mozambique,Africa,30366036,2019,30.366036
MRT,Mauritania,Africa,4525696,2019,4.525696
MWI,Malawi,Africa,18628747,2019,18.628747
MYS,Malaysia,Asia,31949777,2019,31.949777
NAM,Namibia,Africa,2494530,2019,2.49453
NCL,New Caledonia,Oceania,287800,2019,0.2878
NER,Niger,Africa,23310715,2019,23.310715
NGA,Nigeria,Africa,200963599,2019,200.963599
NIC,Nicaragua,North America,6545502,2019,6.545502
NLD,Netherlands,Europe,17332850,2019,17.33285
NOR,Norway,Europe,5347896,2019,5.347896
NPL,Nepal,Asia,28608710,2019,28.60871
NZL,New Zealand,Oceania,4917000,2019,4.917
OMN,Oman,Asia,4974986,2019,4.974986
PAK,Pakistan,Asia,216565318,2019,216.565318
PAN,Panama,North America,4246439,2019,4.246439
PER,Peru,South America,32510453,2019,32.510453
PHL,Philippines,Asia,108116615,2019,108.116615
PNG,Papua New Guinea,Oceania,8776109,2019,8.776109
POL,Poland,Europe,37970874,2019,37.970874
PRI,Puerto Rico,North America,3193694,2019,3.193694
PRK,North Korea,Asia,25666161,2019,25.666161
PRT,Portugal,Europe,10269417,2019,10.269417
PRY,Paraguay,South America,7044636,2019,7.044636
PSX,Palestine,Asia,4685306,2019,4.685306
QAT,Qatar,Asia,2832067,2019,2.832067
ROU,Romania,Europe,19356544,2019,19.356544
RUS,Russia,Europe,144373535,2019,144.373535
RWA,Rwanda,Africa,12626950,2019,12.62695
SAH,Western Sahara,Africa,603253,2017,0.603253
SAU,Saudi Arabia,Asia,34268528,2019,34.268528
SDN,Sudan,Africa,42813238,2019,42.813238
SDS,South Sudan,Africa,11062113,2019,11.062113
SEN,Senegal,Africa,16296364,2019,16.296364
SLB,Solomon Islands,Oceania,669823,2019,0.669823
SLE,Sierra Leone,Africa,7813215,2019,7.813215
SLV,El Salvador,North America,6453553,2019,6.453553
SOL,Somaliland,Africa,5096159,2014,5.096159
SOM,Somalia,Africa,10192317.3,2019,10.192317300000001
SRB,Republic of Serbia,Europe,6944975,2019,6.944975
SUR,Suriname,South America,581363,2019,0.581363
SVK,Slovakia,Europe,5454073,2019,5.454073
SVN,Slovenia,Europe,2087946,2019,2.087946
SWE,Sweden,Europe,10285453,2019,10.285453
SWZ,eSwatini,Africa,1148130,2019,1.14813
SYR,Syria,Asia,17070135,2019,17.070135
TCD,Chad,Africa,15946876,2019,15.946876
TGO,Togo,Africa,8082366,2019,8.082366
THA,Thailand,Asia,69625582,2019,69.625582
TJK,Tajikistan,Asia,9321018,2019,9.321018
TKM,Turkmenistan,Asia,5942089,2019,5.942089
TLS,East Timor,Asia,1293119,2019,1.293119
TTO,Trinidad and Tobago,North America,1394973,2019,1.394973
TUN,Tunisia,Africa,11694719,2019,11.694719
TUR,Turkey,Asia,83429615,2019,83.429615
TWN,Taiwan,Asia,23568378,2020,23.568378
TZA,United Republic of Tanzania,Africa,58005463,2019,58.005463
UGA,Uganda,Africa,44269594,2019,44.269594
UKR,Ukraine,Europe,44385155,2019,44.385155
URY,Uruguay,South America,3461734,2019,3.461734
USA,United States of America,North America,328239523,2019,328.239523
UZB,Uzbekistan,Asia,33580650,2019,33.58065
VEN,Venezuela,South America,28515829,2019,28.515829
VNM,Vietnam,Asia,96462106,2019,96.462106
VUT,Vanuatu,Oceania,299882,2019,0.299882
YEM,Yemen,Asia,29161922,2019,29.161922
ZAF,South Africa,Africa,58558270,2019,58.55827
ZMB,Zambia,Africa,17861030,2019,17.86103
ZWE,Zimbabwe,Africa,14645468,2019,14.645468
